Data,MEMO,Valor,Saldo
31/05/2023,SALDO ANTERIOR,"0,00","0,00"
01/06/2023,APLICACAO FINANCEIRA,"72.733,29","72.733,29"
02/06/2023,APLICACAO FINANCEIRA,"35.546,32","108.279,61"
05/06/2023,APLICACAO FINANCEIRA,"12.504,56","120.784,17"
06/06/2023,RESG.APLIC.FIN.AVISO PREV,"-5.996,19","114.787,98"
09/06/2023,RESG.APLIC.FIN.AVISO PREV,"-8.849,83","105.938,15"
12/06/2023,APLICACAO FINANCEIRA,"19.304,76","125.242,91"
13/06/2023,RESG.APLIC.FIN.AVISO PREV,"-8.998,60","116.244,31"
14/06/2023,APLICACAO FINANCEIRA,"21.281,89","137.526,20"
15/06/2023,RESG.APLIC.FIN.AVISO PREV,"-8.748,76","128.777,44"
16/06/2023,APLICACAO FINANCEIRA,"95.924,61","224.702,05"
19/06/2023,RESG.APLIC.FIN.AVISO PREV,"-40.234,38","184.467,67"
19/06/2023,RESG.APLIC.FIN.AVISO PREV,"-35.602,24","148.865,43"
19/06/2023,RESG.APLIC.FIN.AVISO PREV,"-12.519,16","136.346,27"
19/06/2023,RESG.APLIC.FIN.AVISO PREV,"-19.311,16","117.035,11"
19/06/2023,RESG.APLIC.FIN.AVISO PREV,"-21.284,89","95.750,22"
19/06/2023,RESG.APLIC.FIN.AVISO PREV,"-51.784,33","43.965,89"
20/06/2023,RESG.APLIC.FIN.AVISO PREV,"-501,44","43.464,45"
21/06/2023,RESG.APLIC.FIN.AVISO PREV,"-400,00","43.064,45"
22/06/2023,RESG.APLIC.FIN.AVISO PREV,"-1.420,00","41.644,45"
23/06/2023,RESG.APLIC.FIN.AVISO PREV,"-7.301,66","34.342,79"
26/06/2023,RESG.APLIC.FIN.AVISO PREV,"-2.647,76","31.695,03"
27/06/2023,RESG.APLIC.FIN.AVISO PREV,"-500,00","31.195,03"
29/06/2023,RESG.APLIC.FIN.AVISO PREV,"-95,26","31.099,77"
30/06/2023,APLICACAO FINANCEIRA,"14.844,92","45.944,69"
30/06/2023,juros,"180,61","46.125,30"
03/07/2023,,"-18.582,75","27.542,55"
04/07/2023,,"18.819,46","46.362,01"
05/07/2023,,"834,23","47.196,24"
06/07/2023,,"-8.333,90","38.862,34"
10/07/2023,,"-4.433,00","34.429,34"
10/07/2023,,"-8.847,99","25.581,35"
11/07/2023,,"-3.934,04","21.647,31"
12/07/2023,,"-124,96","21.522,35"
13/07/2023,,"45.455,48","66.977,83"
14/07/2023,,"25.808,43","92.786,26"
17/07/2023,,"-1.949,22","90.837,04"
17/07/2023,,"-18.840,04","71.997,00"
17/07/2023,,"-834,97","71.162,03"
17/07/2023,,"-45.459,00","25.703,03"
17/07/2023,,"-13.685,06","12.017,97"
18/07/2023,,"-870,00","11.147,97"
20/07/2023,,"-2.260,28","8.887,69"
21/07/2023,,"-2.400,00","6.487,69"
24/07/2023,,"-3.107,33","3.380,36"
26/07/2023,,"-304,69","3.075,67"
27/07/2023,,"-1.203,93","1.871,74"
28/07/2023,,"8.904,27","10.776,01"
31/07/2023,,"-1.985,69","8.790,32"
31/07/2023,,"-5.973,92","2.816,40"
31/07/2023,juros,"114,13","2.930,53"
01/08/2023,,"-310,00","2.620,53"
02/08/2023,,"-14,84","2.605,69"
04/08/2023,,"97.349,00","99.954,69"
