id,Data,MEMO,Valor
q1yy82p8nveazvorrursvius,31/05/2023,SALDO ANTERIOR,"0,00"
z8e08602si3xb64a6spqix50,01/06/2023,APLICACAO FINANCEIRA,"72.733,29"
xtqjr4a3xyf9x8ucrr6ihsgx,02/06/2023,APLICACAO FINANCEIRA,"35.546,32"
xbetiwllpjzeeca8u82s6ujn,05/06/2023,APLICACAO FINANCEIRA,"12.504,56"
wt2cgxw3naldvcedmy4m3z8d,06/06/2023,RESG.APLIC.FIN.AVISO PREV,"-5.996,19"
e71kxz41s32ppe0kjrtmd2me,09/06/2023,RESG.APLIC.FIN.AVISO PREV,"-8.849,83"
ts8tsfa3qy6ozsnn8fqoxr01,12/06/2023,APLICACAO FINANCEIRA,"19.304,76"
qddpunnyp9z69c6odruyh329,13/06/2023,RESG.APLIC.FIN.AVISO PREV,"-8.998,60"
hbsl6r3wall9hxjljs3q5g7v,14/06/2023,APLICACAO FINANCEIRA,"21.281,89"
iiuqebhfycxa1867ryqdqjmc,15/06/2023,RESG.APLIC.FIN.AVISO PREV,"-8.748,76"
iqst4tnrmx5wiwzzc12a8oyy,16/06/2023,APLICACAO FINANCEIRA,"95.924,61"
vhn2m91ib2finytldz6bjs0z,19/06/2023,RESG.APLIC.FIN.AVISO PREV,"-40.234,38"
aohrawv5zlbqku36llazljb4,19/06/2023,RESG.APLIC.FIN.AVISO PREV,"-35.602,24"
lghcl3hojtglx4p3gsbr7e5j,19/06/2023,RESG.APLIC.FIN.AVISO PREV,"-12.519,16"
ejw8jhcqy3dz0ebereqoyh3v,19/06/2023,RESG.APLIC.FIN.AVISO PREV,"-19.311,16"
knbp1i31tdxizpfi7tnrjhfv,19/06/2023,RESG.APLIC.FIN.AVISO PREV,"-21.284,89"
c44ofbec19rkl9yrf6ew61gc,19/06/2023,RESG.APLIC.FIN.AVISO PREV,"-51.784,33"
pmrfkkbhhye1p6ntfmwqx0e7,20/06/2023,RESG.APLIC.FIN.AVISO PREV,"-501,44"
t4cyjbapd5ra9k6ugmc0ozzk,21/06/2023,RESG.APLIC.FIN.AVISO PREV,"-400,00"
fdw3d7k9zhu0cbtde1vlphkt,22/06/2023,RESG.APLIC.FIN.AVISO PREV,"-1.420,00"
ndqb7zpzw5sol9hpveh71ymz,23/06/2023,RESG.APLIC.FIN.AVISO PREV,"-7.301,66"
wrvfky2q0yh995lqf9zg5oyv,26/06/2023,RESG.APLIC.FIN.AVISO PREV,"-2.647,76"
se5jwlnxcas15mxhm56wagj4,27/06/2023,RESG.APLIC.FIN.AVISO PREV,"-500,00"
vkl8y62cz74ukyq8t9ar0ybs,29/06/2023,RESG.APLIC.FIN.AVISO PREV,"-95,26"
etmnfui7vblfys93if7uq0y1,30/06/2023,APLICACAO FINANCEIRA,"14.844,92"
g6rpklopjlw5k1lmphgjqe9d,30/06/2023,juros,"180,61"
p1ou04wl5g7na4ost2hpz85k,03/07/2023,,"-18.582,75"
l4lz29urglnolj7yi9l83cjt,04/07/2023,,"18.819,46"
eibo2kjpqh3zc2fo27lcf1qi,05/07/2023,,"834,23"
rcvjlubcyk4fuljlupjlcatb,06/07/2023,,"-8.333,90"
kgo2rr3fwm7vznilz4xqrtw6,10/07/2023,,"-4.433,00"
flic2wvwsfjb2mn4z6yt5h97,10/07/2023,,"-8.847,99"
lajqrnkmgazpxxvcusddeufq,11/07/2023,,"-3.934,04"
l2aeiwnmkg7eyfvb3na2tgp7,12/07/2023,,"-124,96"
rnx1pri5vv865dwo146d3l8d,13/07/2023,,"45.455,48"
e6yus4a8f2w86d9m1bu589lm,14/07/2023,,"25.808,43"
v7bmvw8q0tasyt5f2h0k7sdt,17/07/2023,,"-1.949,22"
bilmwpe280nztz6hfnq4edbg,17/07/2023,,"-18.840,04"
nf8yb3fx02otrst8zym5yfg7,17/07/2023,,"-834,97"
wrhzcck3333q08rnzp1doddd,17/07/2023,,"-45.459,00"
ryvvp9s8wpblbjjkbvyi2zfq,17/07/2023,,"-13.685,06"
j1ydv2ujq46g2v0hd5b4b2uw,18/07/2023,,"-870,00"
hen5tt45qwnjzmzkd31yrttu,20/07/2023,,"-2.260,28"
k61bcexqk1n1jc5rzor8qxoz,21/07/2023,,"-2.400,00"
hmkbc6jc4u0anzixbw218ggv,24/07/2023,,"-3.107,33"
vd5wcbw42fqctowt4ve2g7ps,26/07/2023,,"-304,69"
y3yevac4pgp09apozjdv0svz,27/07/2023,,"-1.203,93"
yzy63noshrtqq23akujplkhe,28/07/2023,,"8.904,27"
xf9s2hf62kf1dj4o10jl8wpf,31/07/2023,,"-1.985,69"
y6l616fn6wgdilfk39z5u1ql,31/07/2023,,"-5.973,92"
dszam48lmfy9xpxvjgibek3i,31/07/2023,juros,"114,13"
justi4uh60tu2cdl4yb5xg3r,01/08/2023,,"-310,00"
abzsyc792bz21nl3iheo1hzx,02/08/2023,,"-14,84"
yfj71s0r8pbjn28ruok9ssy9,04/08/2023,,"97.349,00"
csm2ujr5y5xpmrw8ippn2vma,07/08/2023,,"-116,77"
azb48kfcdu9b8ogy2np9t8su,09/08/2023,,"-2.491,20"
jovedo971k02qjqodozroep2,09/08/2023,,"-2.753,67"
bin82bfd3fzu637ikef4up90,10/08/2023,,"-899,66"
kymj42cpkqtr06quxl8hixrx,11/08/2023,,"-4.744,63"
q2ks40hwv7cdi9yxdkxrzckr,14/08/2023,,"44.029,95"
shgrtac1tt0pqv9b1p4f6ude,15/08/2023,,"-3.272,00"
nn7x3ue2t3kfua7y7tom41ah,16/08/2023,,"-67.931,70"
k4k1rw9elxrrldhfsovu7hh1,18/08/2023,,"1.906,98"
cubiye5jb6egn1ozdrq50b80,21/08/2023,,"587,26"
c4tmpff7ix2a89pynrujz2m2,24/08/2023,,"7.568,85"
kfvdriimghfwjqx1qlypi3gn,25/08/2023,,"189,87"
fn3etis75yl8w69psy9phxq5,28/08/2023,,"-1.549,66"
odg6trpqowq1g62cllsi3v4i,29/08/2023,,"3.262,24"
up15aoigwqdwubsp4sawa4pb,30/08/2023,,"-1.509,00"
i5urxjyh64ytbvbwvbnsrgr3,31/08/2023,,"-35,08"
t99xmum2n2lvapp5jasv680z,31/08/2023,juros,"76,21"
l4uk963k4stb9f0bei5eojgu,04/09/2023,,"-9.391,48"
g3lku2rgj80363qqngogv7d5,05/09/2023,,"-672,32"
m0epcf1q7eb2awl8ps9lbyaj,08/09/2023,,"-400,00"
o7dp1zlzh2whixe4cxqhhq73,11/09/2023,,"-1.892,87"
q6d5xm6ckil2ztxnnwhh3dti,12/09/2023,,"169,45"
nstjr4oeh36s3onkl8kmdt2l,13/09/2023,,"69.461,41"
ni0omuks475qcjxo6e3k9o3l,14/09/2023,,"7.540,79"
rsoln7fge8zjtitoo7mb0vs7,15/09/2023,,"-2.461,18"
zg4hc11othhyfylb3tnfjuae,15/09/2023,,"-44.300,36"
t4sw92vb68k6ia36bq9xw79p,15/09/2023,,"-1.916,07"
yhd65dv0j3tx59fut9no6sn7,15/09/2023,,"-589,63"
ls8l15e6hs03dvt9qsujd9w1,15/09/2023,,"-7.591,26"
y7xehyxsgvfzff45op0pnqmm,15/09/2023,,"-190,36"
apa56ukbczlvhxv1aym671u8,15/09/2023,,"-3.268,20"
de6hrbxil56k48odsm96lqg1,15/09/2023,,"-169,47"
oqe1jud42krx91kph5xpdjie,15/09/2023,,"-39.594,99"
tesy7rc1fub9bx66sq3nztg0,18/09/2023,,"-200,00"
omexubul13ed4zszuqqgppxw,19/09/2023,,"-80,00"
ie69c41d4c7t2wm8jr4uxyd8,20/09/2023,,"-195,02"
wxoioogh7um4i3817x3sod2u,21/09/2023,,"1.870,72"
pnwrfvtr58s9l9vonbep824i,22/09/2023,,"-259,39"
me3ivnewuxnbfv13aiv30ydz,25/09/2023,,"-2.131,45"
zf79toro0cdaaiya91qtjfh8,26/09/2023,,"843,52"
imzp029x3lko3px4m6yybr37,29/09/2023,,"449,73"
k4pyaqxl5b0rmarvhlxyp073,30/09/2023,juros,"404,62"
typ5w4e4d8x9ghnuyj7qlt68,02/10/2023,,"-11.659,93"
hhm6nkmx3n1ig24slomkp7u5,03/10/2023,,"-814,80"
nxzqxmcgia4pudhpi92upcgb,04/10/2023,,"-172,00"
wlfft2egp0hbtri6iy0c1zs9,05/10/2023,,"2.953,56"
yspjua339a5xvtygfpoo1yjg,06/10/2023,,"-2.777,40"
fjsv1ukbnam67heghfsilv11,09/10/2023,,"-178,02"
sa02h31gf1xxw0e2x79d4x0u,10/10/2023,,"-1.812,44"
o2elc8sw2t40pjf44mx1mnzj,11/10/2023,,"-468,08"
wf9znkftuugxd7eco8piywfi,13/10/2023,,"60.115,80"
qovd9hsyc8n1ha7rvd53zfbx,16/10/2023,,"-9.222,16"
ehdqqmm07csfjk4qtma4vqqv,16/10/2023,,"-7.581,90"
bhpwbjbf2yedq75nm1sr92pq,16/10/2023,,"-1.877,19"
wjstfoy7d7rpyek995udjo3h,16/10/2023,,"-845,41"
kjsdm9tu9ajg1gmiue67phn8,16/10/2023,,"-450,40"
j5lvq6p2mnatyu81xd6eml5a,16/10/2023,,"-2.955,25"
o0yx48gp6zft156j2ny2wntx,16/10/2023,,"-48.755,36"
aqrlwk4jzff9qmq04xmrucrr,17/10/2023,,"-900,00"
evblsd6w2xxc9w75mt0qn5p4,19/10/2023,,"-4.000,00"
dm6cnghg01atk6qbfbksj7k1,20/10/2023,,"3.653,02"
dj2qbdkfn5p9jz2t9pgqyz2s,23/10/2023,,"-1.203,86"
sqbyho99ijwau6zkgygy5jvt,25/10/2023,,"1.192,29"
s58f10a4bg88nnpdpbatjcn5,26/10/2023,,"450,00"
w5gavkpmushr3rgw7qsgfs8x,30/10/2023,,"847,52"
gxwonu0kiigf3b039006ruw1,31/10/2023,,"-4.875,22"
pjyf6nc92hw7gqc4pgmd2v0a,31/10/2023,juros,"164,36"
o5m8qzwni41ne94l2ro3v1sg,01/11/2023,,"-394,02"
nnqjrb8m3zo6jahkqai8xyia,01/11/2023,,"-2.072,20"
c8vnuu1c2tmg1yzql728cp3v,03/11/2023,,"-1.584,25"
l9dby21bhjls0jwoxihnkh4j,03/11/2023,,"-375,55"
h15vt8fujyk03dlvb4nt5b48,06/11/2023,,"2.953,56"
l3qlhtq9qhtgye1jhzn6ow2m,07/11/2023,,"-34,74"
aip0j0k4zjt5dvrw5bgfbapw,09/11/2023,,"-180,00"
g7qykurioj0q9gd1nxp12h6w,10/11/2023,,"595,54"
z2iinfpyeyoibzqzzkrz80xn,13/11/2023,,"208,61"
kqsjffexpk3r4udfas1xtox9,14/11/2023,,"60.735,66"
urhzw3rwh80f5pmtzqscp5at,16/11/2023,,"-604,03"
vjrerb8kbvw0xj2iurolm5vb,16/11/2023,,"-451,03"
rgtkjscvr7vbr7fizu4uptq4,16/11/2023,,"-848,85"
im5b88bo5vrhjpn45dli45je,16/11/2023,,"-2.955,31"
a4szxlgc0whjdcp7uq43s8ik,16/11/2023,,"-595,64"
pmhul37uv6yk4kb1avtoi3k7,16/11/2023,,"-208,63"
e5bu30hvk7dlv1qfmzzc27oj,16/11/2023,,"-54.119,47"
w7gdrykqve0pixcrucfib9ra,17/11/2023,,"433,02"
lynr059fkkyhbiycbs9irjg4,20/11/2023,,"-930,22"
lnqg1e5s7c1v1uyjcthfa4h8,21/11/2023,,"563,75"
tfmhpwitau4be0act8uwcglx,22/11/2023,,"2.224,69"
i0sqq33xd3rhnp9d7j4uriry,24/11/2023,,"350,00"
ruqahz7teh17pwm83jad9ioc,27/11/2023,,"-399,00"
sc8s1f9riv1r4iaqxqn1oo9z,28/11/2023,,"2.013,29"
rmphvtdgig623eieljpdk3f8,29/11/2023,,"-5.294,95"
mpwk4ip1vv7otu5khsbdcswe,29/11/2023,,"-418,49"
tl2s8sbpgjny3mpjbp5hlnce,30/11/2023,,"-14,89"
n0vkoev0i1e1wqutvgbrhui7,30/11/2023,,"-540,11"
g8e5g5qroqe9f0glfwbbvehg,30/11/2023,juros,"19,16"
kyqbptszvyxzqeafweb3l62v,01/12/2023,,"-23,95"
cdmo4tvd29rhjohum5z92nau,01/12/2023,,"-2.225,85"
k7sjt4vb83ythl7gpmckjnbw,01/12/2023,,"-350,12"
agwsovwxqzdsik6zi5oooxdk,01/12/2023,,"-185,34"
p64g60wlolc6g3nqbirvndjk,04/12/2023,,"-1.678,35"
oesaobo8viw3c7ymvtf1mn28,05/12/2023,,"1.758,02"
gonj2putzjn3342tl5mu18vd,06/12/2023,,"-150,02"
qq2lyzoz62n68lnljfzof9uf,06/12/2023,,"-916,43"
zgjf7lmn97ajz9ii6r6kppxz,07/12/2023,,"-30,00"
dfmz3w3i7ddfc07fjwsqs7y4,11/12/2023,,"1.034,74"
quspns1b42anfax31cmdhbfi,12/12/2023,,"-139,00"
zw4a5u7kxh6p9spnku98uhbr,13/12/2023,,"917,80"
xhyl3pojkqb0cxr3hkrdix4v,14/12/2023,,"84.511,85"
tmteds06ogfzq8f96o7sgxeo,15/12/2023,,"-673,10"
qmyff16pvhyxx9x7n045t1j5,15/12/2023,,"-1.034,89"
hsymifz9x9411k6z8u173j7h,15/12/2023,,"-917,84"
lvo7yansrr31ix7gaxj8b9s3,15/12/2023,,"-71.097,60"
mfcgmsa3jqx8ny4wzaq93jcu,18/12/2023,,"-2.427,77"
sc3h50ibv0yz0t74gftsukbf,19/12/2023,,"-918,80"
phk39dr8j94eh7jsxysty9h4,20/12/2023,,"854,00"
xln5426i1py3kvv0n23sfupe,21/12/2023,,"-2.104,00"
r8b0onh3cgrnfs6ekjyp7nvk,22/12/2023,,"116,54"
uksk2dnbtuv2v7j58ited6b3,26/12/2023,,"3.254,79"
pfcas8tkj0xqug17zvji6u9k,28/12/2023,,"4.214,68"
wdutb2b6hoqq9nxeap42rspz,31/12/2023,juros,"4,00"
gdedpgj985qrto56f04hy8h9,02/01/2024,,"-7.978,59"
a0hx9vks33xljk2gdm40fex5,02/01/2024,,"-854,63"
gp8bdmusrtvzx67me76xkb92,02/01/2024,,"-116,60"
qxfcumdjcn2uv7ql2evx6amr,02/01/2024,,"-1.646,88"
nnjd5fb80o13aufv1mvu9931,03/01/2024,,"12.999,00"
tmbw1sfelhtpzsxhjsrkukpi,04/01/2024,,"-1.608,99"
rx9igoo2bo8wo8f406kagyg3,04/01/2024,,"-4.215,65"
mjbxvgo6epujz59vxg61mfa9,04/01/2024,,"-2.381,29"
khqes07a5379ince154ovax5,05/01/2024,,"-7.602,90"
tb2wrwqn1rsp25wbue357egl,08/01/2024,,"1.274,09"
syh7qtbv2ixwfby1o01g7j20,09/01/2024,,"1.110,00"
eloa0pb9h5t3x6eduhixbm8b,10/01/2024,,"-10,00"
eh0k1ujmmk5nyh529c7u5u0e,12/01/2024,,"256,47"
jhatfoh6rawkwoi2xptz2vr3,15/01/2024,,"2.245,31"
bisfvfr59owsymhbo6wnx4aw,16/01/2024,,"3.476,64"
r0sv87hxb7xg5pem65lumpxu,17/01/2024,,"5.070,22"
eb8i3bstbkzx9bzo14nw1mc9,19/01/2024,,"1.515,00"
gblbxnqp2yno02bnr4hpntnv,22/01/2024,,"7.223,78"
vqkj96arcebb8kcfrc2k98uv,25/01/2024,,"4.423,78"
ht26up06558q2pa8yhx959sq,26/01/2024,,"300,00"
l65lwxqgs5ev1mc8xh1c2j8o,29/01/2024,,"8.358,78"
uu743w5qfjifwndyofem6h0b,30/01/2024,,"-100,88"
fmyrn976kfhz2n051kciuh77,31/01/2024,juros,"16,79"
vg8lhfex6pyxp8rtm8iq6phv,01/02/2024,,"-2.918,73"
xoi4fz1em87nu0uby12gzbs3,01/02/2024,,"-1.278,46"
ndsn5zpi06640s0phzyo2rlc,01/02/2024,,"-1.113,46"
omhggtdn5brofo6vb7pxhba5,01/02/2024,,"-257,05"
try0nniwyzyfqw79k9fnwgqz,01/02/2024,,"-486,49"
vbnb9inyjzuwq4h9di1a03k5,05/02/2024,,"2.953,56"
k03xwibz8vjq3u5o8n235n4t,06/02/2024,,"-1.764,61"
rch2he73973lh190mi7fa5zx,06/02/2024,,"-3.485,26"
mcjbg0sgbaw6dys3mlnnx7c4,06/02/2024,,"-5.081,43"
yo43z2ixcuw1zmwawtbyogif,06/02/2024,,"-1.517,56"
it87jpj6fobkcgkajfz3o9n0,06/02/2024,,"-7.233,12"
qlr6sdtnhp3ccc4q6vgoms84,06/02/2024,,"-7,74"
p7nk96to5expkot3os3uafdb,07/02/2024,,"14.684,79"
f8ae4wbjtv24k6cnhfczbn9o,09/02/2024,,"-3.458,33"
ha2138si3386lpi2gd6jjg00,14/02/2024,,"3.151,70"
vmzgp4mjiixwlbluis9mghuw,15/02/2024,,"58.373,81"
cbyzmhe7erpnqz1wmwbeiuno,16/02/2024,,"-964,44"
nohf1f2usd9y3kjb77pm70va,16/02/2024,,"-300,63"
ybvu8aijz5xvmg9gfv7sf15n,16/02/2024,,"-8.372,66"
bplj9ndczxuok093v3v2z5gu,16/02/2024,,"-2.955,31"
selqybm2k27dswz4vukzf1bd,16/02/2024,,"-14.689,82"
bz281vhxtgpgrp0bs4olye20,16/02/2024,,"-3.151,81"
dbvmgefopedontcdxiqeazcj,16/02/2024,,"-25.084,35"
r517tn0hok0q6dbwsf7lv4tw,19/02/2024,,"-190,10"
e8o8pyut1mlxss27rng85iu5,20/02/2024,,"980,86"
i40mvlj8a8z6r3a6zt59yyqt,21/02/2024,,"-4.189,00"
s7186szg4cyfswsjez5vi1rg,22/02/2024,,"13.096,31"
ihetn92hoffq9jslzmidd78a,26/02/2024,,"3.000,44"
fr5k8p06tnnt48l1cuzcxrcc,28/02/2024,,"1.263,24"
bovg4lgxz1o7ckir8i1ovjdm,29/02/2024,,"-2.499,00"
bcsrrkdxmkwistyvvrdy8156,29/02/2024,juros,"91,85"
r9dqhbkknfput3rn8d9a3mjv,01/03/2024,,"-165,00"
boqji8902mys0vj2h0kokkwv,04/03/2024,,"-7.878,09"
r5yioap0rpxcuc8t8v2hf2dt,06/03/2024,,"-13.303,44"
lukcesis5jjuls876wi6iki4,07/03/2024,,"15.627,66"
drlxj0ze7lwq6xbei297jhd6,08/03/2024,,"1.748,00"
i0spl09pi1ppmq18i3ib2rxa,11/03/2024,,"-5.126,71"
bog9dnaxsq2l1vajw2rty1vf,11/03/2024,,"-206,12"
rs7n5qca4fs2t8fg5kpq3pid,12/03/2024,,"1.428,75"
gijfjkjebaclhv374mq5o1vn,13/03/2024,,"3.057,62"
kn50s1mb8coaaq13re5j0oaw,14/03/2024,,"-777,50"
x87xkbdmdg1or5swef4rlkk4,14/03/2024,,"-1.721,50"
ghd9zsl5682fi77bze6njwoy,15/03/2024,,"-11.409,65"
oy1b8aha0sm89diukvcqa1r7,15/03/2024,,"-3.006,19"
nehlpublmzqkdqvm6jzc96ws,15/03/2024,,"-1.265,11"
k9k6pmznn1m06zd21y5jxj9f,15/03/2024,,"-10.138,15"
hl7ggyw3fnjnudaxplm1tvxk,20/03/2024,,"3.559,48"
vyuyjpmqtxw9ekhbgq4aug2l,21/03/2024,,"-2.236,52"
ggh3494cg4civ1aqrbcswlby,25/03/2024,,"-676,42"
py2fxcsduc34yvgwom1y8wec,26/03/2024,,"4.422,78"
dkt5wur2p4cku82ctecz9nae,27/03/2024,,"1.191,76"
dy1gnoqf1360o61u3j434h8t,28/03/2024,,"9.632,39"
uujtl5fjqj0g63c5fs8mty2t,31/03/2024,juros,"110,64"
cvzx2hja3vdrpv22q2w2hmcc,01/04/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-2.591,61"
oq58ahocf5e1jg7wy1nkime2,01/04/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-1.752,71"
vnv9n9kobdbsxj65hkbjjogd,01/04/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-1.431,54"
pwsqssj021m96sdcpgce86kn,01/04/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-455,68"
mtuetpytxkmwdnng7yfw61lc,02/04/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-555,00"
ahg6vdb4ban0q6mhs5xz2zqg,04/04/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-800,00"
tb93sbdaqbpcj1mnx2fjjspw,05/04/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-1.254,20"
cly9jazobuhr4t6to9omrsod,05/04/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-3.564,12"
stgotkx64mmzjs5xtcxrm3vb,05/04/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-2.570,17"
pivgli8flqoa5xn5mmwbh8un,08/04/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-253,80"
lzj1qzp6jtk5t5n2dde8sttx,10/04/2024,APLICACAO FINANCEIRA - CAPTACAO,"1.736,00"
w5f0xkie8xn3gfnsw4hd1x6e,12/04/2024,APLICACAO FINANCEIRA - CAPTACAO,"2.208,83"
rd9u8hx0cvyvf36urriy4ajq,15/04/2024,APLICACAO FINANCEIRA - CAPTACAO,"33.993,21"
b66v0mhni50mzbvjsdcc9yeu,16/04/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-1.603,78"
it9yduheyxwor7u9ynoeau27,16/04/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-1.194,04"
cv27z1x0ppnsnkz3j29ad5ed,16/04/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-9.648,54"
zvxxvypu9wo6vve31flh8jcv,16/04/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-1.736,31"
sg7gd6ee4jn8r0kk46ga5j17,16/04/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-2.208,98"
hcu4nxtb4u9vrokgujahd7eh,16/04/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-8.670,19"
qekx31yzu37qom762ngjeswf,18/04/2024,APLICACAO FINANCEIRA - CAPTACAO,"2.663,98"
wzvet5y1he7x4g071eoyiy1r,19/04/2024,APLICACAO FINANCEIRA - CAPTACAO,"1.525,85"
yp95poo8g3om7a1j5f5gtw3m,22/04/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-58,45"
o3srx0umxf01wz0946b88uzm,25/04/2024,APLICACAO FINANCEIRA - CAPTACAO,"4.422,78"
lo7cgtm4sywgffp9tjp4gjt0,26/04/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-4.167,09"
ovz5z07n0ma1kqc2gshhv27q,29/04/2024,APLICACAO FINANCEIRA - CAPTACAO,"1.262,24"
sbjqqrsprdlymmuun7ucm7gz,30/04/2024,APLICACAO FINANCEIRA - CAPTACAO,"5.275,52"
ob6icmycqajyfy2lxe11u1f8,30/04/2024,Juros,"85,60"
dxlgj8z0szz9danavs6rsb4s,02/05/2024,APLICACAO FINANCEIRA - CAPTACAO,"4.100,10"
at3ykj7ld2l6aq0kjrmmbn5j,03/05/2024,APLICACAO FINANCEIRA - CAPTACAO,"3.411,96"
sh8ic73i3j4um8iain31llhw,06/05/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-15.134,56"
it7l92pvr6akyx204te5vbwx,08/05/2024,APLICACAO FINANCEIRA - CAPTACAO,"1.747,00"
s1uufzwxx7yjb1cnacr4tw5r,10/05/2024,APLICACAO FINANCEIRA - CAPTACAO,"1.490,75"
hwv372ivf21vhshzcvkh9bdz,13/05/2024,APLICACAO FINANCEIRA - CAPTACAO,"3.163,70"
q29xui36l38w29scz1z9deyg,14/05/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-2.777,60"
hfgsorqhjurcz87r303xi6co,20/05/2024,APLICACAO FINANCEIRA - CAPTACAO,"125,66"
p1ej8llbjhbcmkrh387v4v4v,21/05/2024,APLICACAO FINANCEIRA - CAPTACAO,"918,00"
sen23pz2ktaxvga2cedjqbcv,23/05/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-3.251,38"
gydcqr25qhx9gf4mhl8wepqe,23/05/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-979,30"
g264plvp42j4mvlxzpcwgw0w,24/05/2024,APLICACAO FINANCEIRA - CAPTACAO,"449,00"
jlgtey2j2i691pp2o23mawq4,27/05/2024,APLICACAO FINANCEIRA - CAPTACAO,"4.423,78"
fvp8kiflqe9m1w41ip5dap27,29/05/2024,APLICACAO FINANCEIRA - CAPTACAO,"31.614,49"
zvv3vsgwzjfwlaxuyxguvb7u,31/05/2024,APLICACAO FINANCEIRA - CAPTACAO,"5.435,41"
ukg46yudtbn0bkuk66lh8y4k,30/05/2024,Juros,"160,00"
d32xqu9kyy4n45jx245dqdza,04/06/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-1.701,05"
ujtbmpjatnrumm690nlkgd5g,04/06/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-1.535,74"
ag1h3hwj8y1vhi4eduqesfh5,04/06/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-4.447,55"
rzvnoyik9sue6rpcq6akoqj5,04/06/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-1.268,74"
ep8uyvktt8ic8h1umkrx8e4m,04/06/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-5.301,59"
tem3hpj16xiicfp9etlsd2h7,04/06/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-4.119,47"
xm0zcdq503dizle8q6otui4v,04/06/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-3.427,33"
np4ppkgsjcsianc9qj510rse,04/06/2024,RESG.APLIC.FIN.AVISO PREV - CAPTACAO,"-264,47"
