,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2025,2025,2025,2025,2025,2025
,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6
,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Janeiro,Fevereiro,Março,Abril,Maio,Junho
Saldos em Conta,"2.033.251,41","337.449,22","312.216,76","253.470,73","325.271,84","294.044,17","253.144,00","248.463,89","203.785,18","152.500,01","86.183,24","57.795,05","112.115,15","171.995,41","157.360,12","174.313,60","194.963,11","191.425,43","237.784,06","290.551,31","280.289,47","329.171,47","308.566,05","353.896,61","384.612,89","317.264,52","269.850,25"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC - Sicredi,"6.862,32","83.089,90","1,00","0,00","0,00","1,00","0,00","0,00","1,00","0,00","0,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","0,00","1,00","0,00","0,00","0,00","0,00","1,00","1,00","1,00"
CC - PJBank,"0,00","7.751,32","19.482,46","3.932,20","6.391,16","9.726,30","0,00","3.316,92","0,00","1.629,53","1.258,20","5.763,03","10.444,57","0,00","9.137,39","21.097,42","32.247,59","1.778,18","13.249,36","996,03","996,04","67.675,61","996,03","20.376,63","0,00","996,04","19.652,23"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
CI - SicrediInvest,"0,00","0,00","46.125,30","2.930,53","72.272,68","37.708,87","6.536,00","4.611,90","16.405,26","38.158,71","44.755,91","27.624,59","36.282,39","71.179,40","46.596,48","91.517,33","100.491,12","41.998,99","25.240,90","28.329,52","26.018,78","10.590,13","17.157,77","30.253,74","12.891,06","11.526,18","9.648,50"
CI - XP,"2.026.389,09","246.608,00","246.608,00","246.608,00","246.608,00","246.608,00","246.608,00","240.535,07","187.378,92","112.711,77","40.169,13","24.406,43","65.387,19","100.815,01","101.625,25","61.697,85","62.223,40","147.647,26","199.293,80","261.224,76","253.274,65","250.905,73","290.412,25","303.266,24","371.720,83","304.741,30","240.548,52"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Receitas Operacionais,"74.267,56","71.381,96","84.492,66","77.967,67","88.809,36","99.959,97","79.764,78","92.173,76","90.461,11","95.244,72","97.242,89","91.429,26","91.438,48","93.050,49","76.073,57","104.154,54","91.273,09","85.950,36","86.761,84","84.887,52","85.547,52","98.459,83","101.527,25","102.496,62","94.321,54","89.595,94","96.314,33"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aluguel,"74.267,56","71.381,96","84.492,66","73.731,67","89.084,44","89.176,29","78.348,56","87.750,88","86.038,23","90.821,84","93.763,90","87.112,91","87.122,13","88.734,14","71.769,50","99.850,47","86.969,02","81.646,29","82.283,13","80.408,81","81.068,81","94.151,61","97.219,03","98.154,65","89.979,57","85.253,97","92.217,66"
Aluguel de Terceiros,"0,00","0,00","0,00","4.236,00","-275,08","10.783,68","1.416,22","4.422,88","4.422,88","4.422,88","3.478,99","4.316,35","4.316,35","4.316,35","4.304,07","4.304,07","4.304,07","4.304,07","4.478,71","4.478,71","4.478,71","4.308,22","4.308,22","4.341,97","4.341,97","4.341,97","4.096,67"
Outras Receitas,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Despesas Operacionais,"-41.973,63","-17.615,55","-24.703,76","-56.493,04","-20.569,65","-44.849,45","-27.986,50","-21.717,29","-29.266,69","-54.143,43","-61.855,68","-20.111,48","-18.235,77","-10.681,79","-25.258,14","-18.137,08","-19.511,66","-19.871,62","-38.202,95","-24.197,72","-33.808,01","-38.474,40","-104.611,94","-35.686,02","-24.011,40","-25.088,46","-9.748,70"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Despesas Administrativas,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarifas Bancárias,"-75,60","-79,40","-83,20","-94,60","-98,40","-94,60","-79,40","-121,98","-90,80","-193,80","-93,80","-87,00","-83,20","-90,00","-89,99","-93,80","-90,80","-86,98","-86,08","-86,24","-90,18","-86,24","-86,24","-86,24","-86,24","-86,24","-86,24"
Escritórios e Postagens,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-20,00","0,00","0,00","0,00","0,00","-25,00","0,00","0,00"
Contabilidade,"0,00","-1.195,00","0,00","-1.325,70","0,00","0,00","-760,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-2.132,00","-766,20","-450,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Salários,"-10.626,68","-603,00","-814,80","-8.483,01","-814,80","-814,80","-814,80","-1.669,80","-750,60","-1.425,38","-5.766,08","-555,00","-1.110,00","0,00","-555,00","-555,00","-555,00","-555,00","-13.555,00","-1.110,00","-2.555,00","-555,00","-41.808,49","-555,00","-3.554,00","-555,00","-555,00"
FGTS,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-48,00","-48,00","0,00","-48,00","-48,00","-48,00","-48,00","-48,00","-48,00","-48,00","0,00","-48,00","-48,00","-48,00","-48,00","-48,00","-48,00"
INSS,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-205,80","-205,80","-205,80","-205,80","-205,80","-205,80","-205,80","-205,80","0,00","-205,80","-411,60","-205,80","-205,80","-205,80","-205,80","-205,80","-205,80"
TI,"0,00","0,00","0,00","0,00","0,00","-260,39","-254,46","-401,00","-249,00","-300,18","-249,00","-250,77","-266,01","-266,33","-261,23","-261,23","-266,85","-261,23","0,00","-261,23","-288,21","-528,41","-260,92","-267,25","-260,92","-260,64","0,00"
Documentações e Jurídico,"-1.000,00","-81,20","-593,65","-26,00","-570,00","-1.000,00","-3.500,00","-3.905,00","-2.790,20","0,00","-400,00","-106,08","-106,08","0,00","-180,00","-120,00","-754,21","0,00","-6.613,44","-10.695,44","-5.321,27","0,00","0,00","0,00","-195,61","-616,74","0,00"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Despesas com Imóveis,,,,,,,,,,,,,,,,,,,,,,,,,,,
Condomínios,"-4.160,13","-3.879,85","-3.961,90","-4.174,54","-3.786,02","-4.843,55","-3.492,02","-3.280,17","-3.355,95","-3.404,31","-3.227,29","-3.355,37","-3.390,69","-3.396,21","-3.564,89","-3.687,57","-4.178,69","-4.288,41","-3.571,08","-2.870,03","-4.692,58","-3.748,71","-3.753,62","-5.614,30","-3.804,77","-3.959,99","-4.022,37"
Energia Elétrica,"-1.016,60","-482,57","-1.338,81","-439,43","-398,85","-376,95","-735,16","-347,59","-386,76","-246,91","-349,28","-253,12","-237,69","-173,78","-237,69","-237,69","-165,65","-290,37","-154,65","-322,45","-338,95","-365,16","-400,39","-246,88","-374,72","-224,71","-283,89"
Água e Esgoto,"-68,33","-1.674,60","-68,24","-1.385,66","-49,83","-727,02","-110,50","-123,10","-99,66","-34,98","-36,32","-36,31","-36,32","-36,32","-36,32","-36,32","-36,32","-36,32","-18,16","-55,24","-36,32","-36,32","-38,08","-38,08","-38,08","-38,08","-39,04"
Telefone e Internet,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-99,90","-99,90","-99,90","-99,90","-199,80","0,00","-99,90","-99,90","-99,90","-99,90","-99,90","-112,19","-99,90","-99,90","-99,90","-99,90","-99,90","-99,90","-99,90"
Manutenção,"-3.626,00","-200,00","-3.100,30","-1.960,00","-4.570,00","-1.230,00","-6.772,00","-1.330,00","-7.589,93","-5.842,38","-5.525,00","-4.146,40","-859,45","-2.559,00","-1.560,00","-1.912,00","-1.310,00","-630,00","-2.720,00","-3.696,20","-2.743,00","-1.573,00","-5.453,00","-5.464,00","-780,00","-8.340,00","-2.416,10"
Benfeitorias,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Outras Despesas com Imóveis,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
IPTU,"-3.918,79","-888,66","-888,66","-888,66","-888,66","-3.294,36","-888,66","-888,66","-888,66","-31.247,67","-38.725,73","-647,81","0,00","0,00","-3.228,73","0,00","0,00","0,00","0,00","0,00","0,00","-24.795,99","-46.180,56","-13.334,39","0,00","0,00","0,00"
Repasse de Aluguel,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","-550,96","-4.012,88","-4.012,88","0,00","-3.047,52","-3.906,35","-3.906,35","-3.894,07","-3.894,07","-3.894,07","-3.894,07","-4.051,25","-4.051,25","-4.051,25","0,00","0,00","-3.307,22","-7.829,02","-3.914,51","0,00"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Despesas com Impostos,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRPJ,"-8.779,67","0,00","0,00","-11.529,45","0,00","-2.696,31","-5.248,29","-2.623,63","-3.152,19","-2.987,28","-3.020,43","-3.080,98","-3.418,62","0,00","-2.564,96","-2.596,91","-3.116,13","-2.766,47","-2.758,95","0,00","-5.486,61","-2.714,72","-2.659,25","-2.719,42","-2.842,44","-2.838,32","0,00"
CSLL,"-1.909,93","0,00","0,00","-7.030,60","0,00","-1.617,79","-3.148,97","-1.574,18","-1.891,31","-1.792,37","-1.812,26","-1.848,59","-1.926,36","0,00","-3.803,98","-1.558,15","-1.869,68","-1.659,88","-1.655,37","0,00","-3.492,62","-1.628,83","-1.595,55","-1.631,65","-1.705,46","-1.702,99","0,00"
Taxa de Fiscalização,"0,00","0,00","0,00","-817,63","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-855,90","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Outros Impostos,"-6.360,84","-6.360,84","-6.360,84","-6.360,84","-6.360,84","-25.443,36","0,00","-2.886,43","-1.438,15","-283,80","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-813,51","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
PIS,"-431,06","-386,51","0,00","-2.125,93","-361,91","-365,13","-356,91","-358,79","-431,08","-404,53","-409,02","-417,22","-434,77","0,00","-874,48","-351,67","-421,98","-374,63","-374,84","0,00","-756,72","-367,62","-360,11","-368,25","-384,91","0,00","-354,80"
Cofins,"0,00","-1.783,92","-7.151,36","-9.811,99","-1.670,34","-1.685,19","-1.647,31","-1.656,00","-1.989,62","-1.867,06","-1.887,77","-1.925,61","-2.006,63","0,00","-4.036,09","-1.623,07","-1.947,58","-1.729,05","-1.730,03","0,00","-3.291,97","-1.696,70","-1.662,03","-1.699,64","-1.776,53","-2.172,54","-1.637,56"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outras Despesas não Identificadas,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outras Despesas,"0,00","0,00","-342,00","-39,00","-1.000,00","-400,00","-178,02","0,00","-50,00","0,00","0,00","0,00","-48,00","0,00","-17,01","0,00","-551,00","0,00","0,00","-213,65","-151,83","-24,00","0,00","0,00","0,00","-25,00","0,00"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucro Operacional,"32.293,93","53.766,41","59.788,90","21.474,63","68.239,71","55.110,52","51.778,28","70.456,47","61.194,42","41.101,29","35.387,21","71.317,78","73.202,71","82.368,70","50.815,43","86.017,46","71.761,43","66.078,74","48.558,89","60.689,80","51.739,51","59.985,43","-3.084,69","66.810,60","70.310,14","64.507,48","86.565,63"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Receitas e Despesas não Operacionais,"-40.290,61","-1.749.568,60","-85.021,36","-80.220,66","3.561,40","-86.338,19","-92.678,45","-75.136,58","-105.873,13","-92.386,46","-101.703,98","-99.705,97","-18.882,61","-22.488,44","-65.450,72","-69.063,98","-51.111,92","-69.616,42","-2.200,26","-7.922,55","-62.001,35","-11.103,43","-17.520,73","-21.480,04","-39.593,86","-131.855,85","-133.979,90"
Distribuição de Lucros,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Investimentos em Terceiros,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-25.000,00","-10.000,00","-18.000,00","-16.000,00","-16.000,00","-16.000,00","-16.000,00","-60.000,00","0,00","-60.000,00","0,00","-5.000,00","-60.000,00","0,00","-8.000,00","-20.000,00","-21.000,00","-13.500,00","-6.800,00"
Compra de Imóveis,"0,00","-1.700.000,00","-180.000,00","-80.000,00","-80.000,00","-80.000,00","-80.000,00","-80.000,00","-80.000,00","-80.000,00","-80.000,00","-80.000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-102.000,00","-30.000,00"
